- Recover from Injury	- 怪我からの回復
{LF}New Save{LF}Press and Hold	{LF}新建存档{LF}按住
{LF}Manpower	{LF}人力
{LF}Insufficient Manpower	{LF}人力不足
{LF}Quartermaster is recommended as a first choice.	{LF}建议优先选择军需官。
{LF}Escape!	{LF}逃跑！
{LF}Normal Keys	{LF}普通钥匙
{LF}Normal Locks	{LF}普通锁
{LF}Commencing interpretation	{LF}开始解读
{LF}Dismiss!	{LF}解散！
{LF}Defensible Location{LF}{LF}Supports	{LF}可防御地点{LF}{LF}支援
{LF}Good squares	{LF}优良地块
. I have slain a guard and taken this key, but before long, more will come. I aim to escape, but two have better odds than one.”{LF}{LF}The door pops open, and she ushers you into the hall. She is athletic and travel-worn, and she seems calm, like someone accustomed to violence.{LF}{LF}”Are you able to fight, if the need arises?”	。我杀了一个守卫，拿到了这把钥匙，但很快就会有更多人过来。我打算逃跑，但两个人总比一个人机会大。”{LF}{LF}门砰地一声弹开，她示意你进入走廊。她体格健壮，饱经风霜，而且看起来很镇定，像是习惯了暴力的人。{LF}{LF}”如果需要的话，你能战斗吗？”
Press ”B” or use the side button to view your list of learned skills.	按“B”键或使用侧边按钮查看已学习技能列表。
Press ”C” or use the side button to call your bandmates to your side.	按“C”键或使用侧边按钮召唤你的队友到你身边。
Press ”F” or use the side button to toggle whether or not {LF}your bandmates try to follow the active character.	按“F”键或使用侧边按钮切换你的队友是否尝试跟随活跃角色。
”Yes, everything unwinding, but I caught the end.”	”是的，一切都失控了，但我抓住了结尾。”
”The archives hold a record of a{LF}notorious criminal by that name already.{LF}State your full name for the court.”{LF}{LF}This name may be in use by an important character, or may be the name of someone already involved in one of your save files.	”档案中已有同名恶名昭彰罪犯的记录。{LF}向法庭陈述你的全名。”{LF}{LF}此名称可能已被重要角色使用，或可能是你某个存档文件中已存在人物的名称。
”You claim you are innocent, but the court has already heard the testimony of a most honourable witness against you. Your plea rings false, and the court notes your deception.”	“你声称自己是无辜的，但法庭已经听取了最可敬的证人对你不利的证词。你的辩解听起来很假，法庭已注意到你的欺骗行为。”
”You and everybody else. Welcome to Lukatt.”{LF}{LF}	“你和大家都一样。欢迎来到卢卡特。”{LF}{LF}
”It'll be quite a sight if we manage to actually march twenty strong hands into the Greenback Shipyard like that old captain asked. Do you think he'll keep his end of the bargain?”	“要是真能像老船长要求的那样，带着二十个壮汉浩浩荡荡地开进格林贝克船厂，那场面可就壮观了。你觉得他会信守承诺吗？”
”Thank you,	「谢谢，
”All that work for nothing. What a miserable attempt that was. Maybe there'll be something helpful in that old book, at least. Have you found anyone who can read it yet?”	“白忙活一场。真是够失败的。也许那本旧书里至少有点有用的东西。你找到能读懂它的人了吗？”
”We're finally leaving, are we? It's been so long. Captain Logus said he'd meet us at Forfshire Overwatch when we're ready to go.”	“我们终于要走了，是吧？真是等太久了。罗格斯船长说我们准备好后，在福夏尔瞭望台碰头。”
”Ugh, I can't even believe they still jail people for that.”{LF}{LF}	“呃，我真不敢相信他们现在还因为这种事关人。”{LF}{LF}
”Hey, you,	「喂，你，
”Let us avenge your death, shall we?”	“让我们为你报仇雪恨，如何？”
”Well fuck, you don't gotta tell me twice!”	“妈的，不用你说第二遍！”
”A ship at Greenback Bay? I suppose if there'd be one anyplace, that's where I'd look first.”	“格林贝克湾有船？我想如果哪儿有船的话，我第一个就会去那儿找。”
”I can't just stay here and wait to die!”	“我不能就这么待在这儿等死！”
”A seaworthy ship on an island like this will be no small surprise, but Greenback Bay is as good a place to start the search as any.”	“在这种岛上找到一艘能出海的船肯定是个大惊喜，但格林贝克湾作为搜索的起点倒是不错。”
”Let's be rid of this wretched place.”	“赶紧离开这个鬼地方吧。”
”You'll be wanting to leave this island, yes?” Zantanak says. ”I can leave anytime I choose, but unfortunately, I cannot transport your mortal flesh in like fashion. Perhaps a boat would better serve.” {LF}{LF}You decide to travel along the coast, to see if you can find a settlement where you may be able to take a boat for your own.	“你想离开这个岛，对吧？”赞塔纳克说道。“我随时可以走，但可惜不能像这样带着你的凡人之躯。也许弄条船更合适。”{LF}{LF}你决定沿着海岸走，看看能不能找到可能有船可用的定居点。
”You are hereby stripped of your citizenship and judged guilty. You shall be branded with your crime, and interned at The Stocks of Lukatt to await the execution of your sentence. {LF}{LF}May God have mercy upon your soul.”	“兹剥夺你的公民权，并判你有罪。你将被打上犯罪的烙印，关押在卢卡特的监狱中，等待处决。{LF}{LF}愿上帝怜悯你的灵魂。”
”This has got to be a bad dream.”	“这一定是个噩梦。”
”This ought to be interesting. Let's get out of here.”	“这应该会很有意思。我们离开这儿吧。”
”And now, the slaughter begins.”	“现在，屠杀开始。”
”Let's get the fuck out of here.”	“我们他妈赶紧离开这儿。”
”So we're shooting for Greenback Bay, are we? Do you really think there's going to be ship there? Seems to me that any seaworthy ship would've left this place long ago.”	“所以我们的目标是格林贝克湾，是吗？你真觉得那儿会有船？在我看来，任何能出海的船早就离开这地方了。”
”Then let's go.”	“那就走吧。”
”That's just great. And here I thought we were finally getting somewhere! All we've got to show for it is some crummy book we can't even read!”	“真棒。我还以为我们终于有进展了！结果就只搞到一本我们连读都读不懂的破书！”
”We need to find whatever Spartill was after. That means figuring out what the Babe is and how to reach it.”	“我们必须找到斯帕蒂尔在追寻的东西。这意味着要弄清楚‘圣婴’是什么，以及如何到达那里。”
”I wonder what Spartill was expecting to find by chasing this Babe? I suppose if we're going after him, we might soon find out.”	“我在想，斯帕蒂尔追查这个‘圣婴’是想找到什么？如果我们去追他，大概很快就能知道了。”
”Well, the Prime Minster had a place down south, didn't he? And Spartill's hunting lodge is out east. Seems like we're bound to find at least a few clues if we search those areas.”	“嗯，首相在南边有个地方，对吧？斯帕蒂尔的狩猎小屋在东边。如果我们搜索那些区域，至少应该能找到一些线索。”
”There is a notorious bastard by that name. Add a surname or choose another.”{LF}{LF}This name may be in use by an important character, or may be the name of someone already involved in one of your save files.	“有个臭名昭著的混蛋叫这名字。加个姓或者换个名字。”{LF}{LF}此名称可能已被重要角色使用，或已出现在您的某个存档文件中。
”Well, can I assume you'd rather escape than starve to death?”{LF}{LF}	“那么，我是否可以认为你宁愿逃跑也不愿饿死？”{LF}{LF}
”Strange that they would send you here, then.”{LF}{LF}	“那他们把你送到这儿来可就奇怪了。”{LF}{LF}
”You, then, are the one I have been seeking!”{LF}{LF}A clawed hand reaches into the bars and peels the door from its hinges. On the other side stands a creature that can only be a demon from the pit of hell. He is the size of lean man, but his skin has the color and sheen of an open wound, and his grinning face is crowned with sharp horns.{LF}{LF}”Your call has been answered, and I, Zantanak, have come to serve.”{LF}{LF}He bows and presents the hallway to you as any gracious host might, before standing straight and brandishing a horribly jagged spear.{LF}{LF}”There yet remain fools blocking the way. Are you well enough to fight?”	“那么，你就是我要找的人！”{LF}{LF}一只利爪伸进栏杆，将牢门从铰链上扯了下来。门外站着一个只能是从地狱深渊爬出的恶魔。他体型如精瘦男子，但皮肤呈现出开放伤口的颜色和光泽，狞笑的脸上长着尖锐的角。{LF}{LF}“你的召唤已得到回应，我，赞塔纳克，前来效劳。”{LF}{LF}他鞠了一躬，像任何殷勤的主人一样为你让出通道，然后挺直身体，亮出一柄布满恐怖锯齿的长矛。{LF}{LF}“路上还有些碍事的蠢货。你还能打吗？”
”You, then, are the one I have been seeking!”{LF}{LF}A clawed hand reaches into the bars, and, grasping the edge of the door's small window tightly, rips the door from its hinges with a thunderous crash, tossing it aside as if it were nothing. {LF}{LF}On the other side stands a creature that can only be a demon from the pit of hell. He is the size of lean man, but his skin has the color and sheen of an open wound, and his grinning face is crowned with sharp horns.{LF}{LF}”Your call has been answered, and I, Zantanak, have come to serve you, to honor your contract. Let us quit this place, as you have commanded.”{LF}{LF}He bows and presents the hallway to you as any gracious host might, before standing straight and brandishing a horribly jagged spear.{LF}{LF}”There yet remain fools blocking the way. Are you well enough to fight?”	“那么，你就是我一直在寻找的人！”{LF}{LF}一只利爪伸进铁栏，紧紧抓住牢门小窗的边缘，随着一声雷鸣般的巨响，将门从铰链上撕扯下来，像扔垃圾一样随手抛到一边。{LF}{LF}门外站着的，只能是从地狱深渊爬出的恶魔。他身形如精瘦男子，皮肤却泛着伤口般的色泽与光泽，狞笑的脸上长着尖锐的角。{LF}{LF}“你的召唤已得回应，我，赞塔纳克，前来效忠于你，履行契约。如你所命，我们离开此地。”{LF}{LF}他躬身行礼，如同殷勤的主人般为你让出通道，随后直起身，挥舞着一柄布满恐怖锯齿的长矛。{LF}{LF}“还有些蠢货挡路。你还能打吗？”
”That's mild compared to what some are here for.”{LF}{LF}	“跟有些人来这儿的缘由比起来，你这算轻的了。”{LF}{LF}
”This is a terrible idea.”	“这主意糟透了。”
”So you were convicted of having good taste.”{LF}{LF}	“这么说，你是因品味太好而被定罪了。”{LF}{LF}
”Did you get a trial and everything? That's generous of them.”{LF}{LF}	“还给你走了审判程序什么的？他们可真够意思。”{LF}{LF}
”I still haven't figured out why that one's a crime.”{LF}{LF}	“我还是没搞懂那为啥也算犯罪。”{LF}{LF}
”I see. Well, now really isn't the time to worry about it.”{LF}{LF}	“明白了。不过，现在真不是操心这个的时候。”{LF}{LF}
”What a rotten waste, and for what? A soggy old book? Maybe if we find someone who can actually read the damn thing, it'll give us some idea what to do.”	“真是烂透了，白费劲，图个啥？就为了一本湿乎乎的旧书？要是能找到个真能读懂这破玩意儿的人，说不定能告诉我们该干嘛。”
”You've got some stones if you're going to go exploring a place like Bath Polyandrium. Makes me glad I just pour drinks and babysit crates.”	“敢去巴思·波利安德里姆那种地方探险，你胆子不小啊。幸好我只是个倒酒看箱子的。”
”Whatever's in Bath Polyandrium is probably what Spartill was looking for. Make sure you and your friends are well prepared for whatever's in there.”	“巴思·波利安德里姆里的东西，很可能就是斯巴提尔在找的。确保你和你的朋友对里面的状况做好万全准备。”
”Bath Polyandrium is the tomb of King Chevre, the first king of Lukatt. God knows what you're going to find down there. Be careful.”	“巴思·波利安德里姆是卢卡特开国君王谢夫尔王的陵墓。天晓得你在下面会发现什么。小心点。”
”I think it says something that we haven't seen any statues of this Fastad fellow. You can search his archive if you want, but if you ask me, Spartill is the fellow to be chasing. I'd go to his lodge to look for more clues.”	“我们至今没见着法斯塔德这家伙的雕像，我觉得这很能说明问题。你想查他的档案随你，但依我看，斯巴提尔才是值得追查的人。我会去他的小屋找更多线索。”
”Well, I've tried this key in all the other doors so that means it must be yours.”{LF}{LF}	“嗯，我用这把钥匙试过其他所有的门了，所以这肯定是你的。”{LF}{LF}
”Well, I've tried this key in all the other doors, so that means it must be yours.”{LF}{LF}	“嗯，我用这把钥匙试遍了其他所有的门，所以这肯定是你的。”{LF}{LF}
”Well, I guess it's your lucky day.”{LF}{LF}	“嗯，看来你今天走运了。”{LF}{LF}
”Well at least you're smart enough not to shit me.”{LF}{LF}A man the size of an ox steps up to the bars and begins to struggle with the lock.{LF}{LF}”Some of the guards thought it'd be fun to take me out of the cell for a little sport, but now they're fuckin' dead, and I got their boots. And the key to your cell, 'parently.”{LF}{LF}The lock clicks open, and he wastes no time throwing the door wide. He's been stripped, but has a hastily-gathered pack of things, presumably scavenged from the guards he killed.{LF}{LF}”Call me Leftie. And tell me you can fight, cuz I ain't fucking carrying you.”	“行，至少你够聪明，没跟我耍花招。”{LF}{LF}一个壮如公牛的汉子走到铁栏前，开始鼓捣门锁。{LF}{LF}“有几个守卫觉得把我弄出牢房找点乐子挺好玩，但现在他们他妈的全死了，靴子归我了。显然，连你牢房的钥匙也归我了。”{LF}{LF}锁咔哒一声开了，他毫不耽搁地一把推开门。他衣衫褴褛，但背着个匆忙打好的包裹，想必是从他干掉的守卫那儿搜刮来的。{LF}{LF}“叫我左撇子。告诉我你能打，因为我他妈的可不会背着你走。”
”Well they've gone to great lengths to ensure you are quietly forgotten.”{LF}{LF}	“看来他们可是费尽心机要让你被 quietly 遗忘掉。”{LF}{LF}
”Maxim Spartill was the Queen's lover, wasn't he? She obviously trusted him a great deal, so perhaps there are further clues to be found in his lodge. I'm not sure how I feel about this Fastad fellow, though. Something about him doesn't sit right.”	“马克西姆·斯巴提尔是女王的情夫，对吧？女王显然极为信任他，所以他的小屋里或许能找到更多线索。不过，我对那个法斯塔德没什么好感，总觉得他有点不对劲。”
”Seriously? You must've really angered the wrong person to get sent here.”{LF}{LF}	“真的假的？你肯定是把不该惹的人给惹毛了，才会被送到这儿来。”{LF}{LF}
”Forced to use this terrible power again...”	“被迫再次动用这可怕的力量……”
”Mana” changes your magical output, and ”align” changes your magical resistances.{LF}”Soul” does both.	“法力”改变你的魔法输出，“调和”改变你的魔法抗性。{LF}“魂力”则两者都改变。
”I was thinking that we should try to put some more distance between ourselves and the stocks”,	“我在想，我们是不是该再跟那些枷锁（stocks）保持点距离”，
”Twenty isn't such a high number if you think about it. Just keep at it, one body at a time, and soon we'll have enough hands to impress that old sailor at the Greenback Shipyard.”	“仔细想想，二十个也不算多。坚持下去，一个接一个地干掉，很快我们就能凑够人手，让绿背船厂那个老水手刮目相看了。”
”Captain Logus said his boat was hidden near Forfshire Overwatch. We should meet him there as soon as we're ready to get off this rock.”	“洛格斯船长说他的船藏在福夫夏尔瞭望站附近。等我们准备好离开这鬼地方，就去那儿跟他会合。”
”Alright, I just needed to know what I'm getting myself into.”{LF}{LF}	“好吧，我只是想搞清楚自己摊上了什么事儿。”{LF}{LF}
”How on earth are we supposed to know what the Babe is? Is it an animal? Or a place? It seems important, but Spartill didn't give us a lot to go on.”	“我们到底该怎么知道那个“圣婴”（Babe）是什么？是动物？还是地方？它似乎很重要，但斯巴提尔没给我们多少线索。”
”Hardly a glorious alliance, but we'll have to manage.”{LF}{LF}	“算不上什么光荣同盟，但只能将就了。”{LF}{LF}
”Someplace important to the royal family, but also someplace private enough not to be seen by lots of people. Is there anyplace else in the Caldera that the Queen might have spent a lot of time?”	“对王室来说很重要，但又足够私密、不会被很多人看到的地方。卡尔德拉还有没有女王可能经常去的其他地方？”
”I owe you one,	“我欠你一个人情。”
”What are we waiting for? Let's meet the Captain at Forfshire Overwatch and get off this rock for good!”	“我们还等什么？去福尔夏尔瞭望点见船长，永远离开这个鬼地方！”
”We should try to put some distance between us and the stocks”, he says. You share your thoughts on being unable to return home, and Nazar laughs, shaking his head.{LF}{LF}”I'm not going anywhere. I would suggest that you try to get comfortable here too, but I know that you don't want to hear that, so if you want to leave, I'll help you. You might try sailing for Tsarath, even. We used to see occasional outcasts from Crest there, so you'd fit right in.{LF}{LF}I think there is an old marina further up the shore. I didn't investigate it before, but there might be boats there, and it isn't very far.”{LF}{LF}|”In any case, we'd best move out before the guards expand their search.”{LF}{LF}You gather up whatever you can carry and set out.	“我们得和那些囚犯保持距离”，他说。你倾诉了无法回家的想法，纳扎尔笑着摇了摇头。{LF}{LF}“我哪儿也不去。我倒是想建议你也试着在这里安顿下来，但我知道你不想听这个。所以如果你想离开，我会帮你。你甚至可以试试坐船去察拉斯。我们以前偶尔会在那里见到来自克雷斯特的流亡者，所以你很容易就能融入。{LF}{LF}我记得沿着海岸往上走有个旧码头。之前没去查看过，但那里可能有船，而且离这儿不远。”{LF}{LF}|“总之，我们最好在守卫扩大搜索范围之前离开。”{LF}{LF}你收拾好能带走的物品，出发了。
”Let me tell you, if I was hiding such important secrets, I wouldn't have hid them under my ass in the capital. Perhaps the Queen had some other, more private place she might have hidden something.”	“我跟你说，如果我要藏这么重要的秘密，才不会藏在首都这种地方。也许女王有别的、更私密的地方可以藏东西。”
Adds 'lucky' status. Rolls higher values within ranges more often.	附加『幸运』状态。更频繁地掷出范围内较高的数值。
”You've maintained your innocence from the beginning. I believe you.”{LF}{LF} A young man in a guard's uniform steps up to the bars and begins fumbling with a keyring.{LF}{LF} ”My name is Greave. I thought I was coming here to keep people safe, but the other guards are thugs. They don't care who deserves to be here and who doesn't. I'm getting out of here, but there's no way I'm leaving an innocent person in this pit.”{LF}{LF} The door clicks open, and Greave looks straight at you.{LF}{LF} ”This might be a bit rough. You got any experience with a weapon or anything?”	“你从一开始就坚称自己无辜。我相信你。”{LF}{LF}一个穿着守卫制服的年轻人走到牢门前，开始摸索钥匙串。{LF}{LF}“我叫格里夫。我本以为来这里是为了保护人们，但其他守卫都是恶棍。他们不在乎谁该待在这里，谁不该。我要离开这里了，但我绝不会把一个无辜的人留在这个鬼地方。”{LF}{LF}牢门咔哒一声开了，格里夫直视着你。{LF}{LF}“接下来可能会有点粗暴。你有使用武器之类的经验吗？”
”State your name for the court.”	“向法庭报上你的姓名。”
”Your admission of guilt is commendable, and the court will consider this in your judgement.”	“你认罪的态度值得称赞，法庭在判决时会考虑这一点。”
says, ”it just wanted to keep us. What the hell is going on?”{LF}{LF}You share your account of the strange temple you found in the grotto, and	说道，“它只是想困住我们。这他妈到底是怎么回事？”{LF}{LF}你讲述了在洞穴里发现的诡异神殿的经历，然后
”I'm not in a position to be choosy here. You'll have to do.”{LF}{LF}	“我现在没资格挑三拣四。只能靠你了。”{LF}{LF}
”Just don't leave me behind!”	“千万别丢下我！”
Adds the 'cursed' status. May become disfigured upon death.	附加『诅咒』状态。死亡时可能毁容。
”I can't imagine the Queen would have kept such important secrets anyplace in the royal court. It seems far too obvious. Did she have some other favorite refuge?”	“我无法想象女王会把这么重要的秘密藏在宫廷里的任何地方。那也太明显了。她有没有其他喜欢的藏身之处？”
”I can't wait to hit something!”	“我等不及要揍点什么东西了！”
”I'm not sure how much trust I put in a drunken old sailor on a shipyard pier, but if it's the best lead we've got, I say we round up the twenty hands he asked for and get back to Greenback as soon as possible!”	“我不太相信船厂码头上一个醉醺醺的老水手，但如果这是我们最好的线索，我建议我们立刻凑齐他要的二十个人手，尽快返回格林贝克！”
”Wait, an actual necromancer? I didn't think-”{LF}{LF}The man's voice is cut off in a strangled cry, as he is slammed against the bars by a gigantic, nearly naked man the size of an ox. In the space of just a few moments, the large man breaks the smaller one's neck, then searches his body. Finding nothing to his liking, he takes the dead man's boots and leaves.{LF}{LF}You stand and peer through the bars and see the key, presumably to your cell, on the floor just a few feet away.{LF}{LF}The opportunity could not be better. With a simple incantation, you sieze on the moment of the guard's death to push his corpse into unlife and bind it to your will, unlocking the door and releasing you.{LF}{LF}You gather yourself and set forth.	“等等，真正的死灵法师？我没想到——”{LF}{LF}男人的声音变成一声被扼住的惨叫，一个壮如公牛、几乎全裸的巨汉把他猛地撞在牢门上。短短几秒钟内，巨汉就扭断了小个子的脖子，然后搜了他的身。没找到什么合意的东西，他拿走了死者的靴子便离开了。{LF}{LF}你站起身，透过牢门栏杆望去，看到钥匙——想必是你牢房的钥匙——就落在几英尺外的地上。{LF}{LF}机会再好不过了。随着一句简单的咒语，你抓住了守卫死亡的瞬间，将他的尸体转化为不死生物，并使其服从你的意志，打开了牢门，重获自由。{LF}{LF}你定了定神，踏上了征程。
”Sounds to me like someone set you up.”{LF}{LF}	“听起来像是有人陷害了你。”{LF}{LF}
”Move.”	“走。”
Adds 'unlucky' status. Rolls lower numbers within ranges more often.	附加『不幸』状态。更频繁地掷出范围内较低的数值。
”I am gonna make them sorry they locked me up!”	“我要让他们后悔把我关起来！”
Your chances of evading physical and magical attacks dramatically {LF}improve whenever you have the 'Defense' status.	当你拥有『防御』状态时，你闪避物理和魔法攻击的几率会显著{LF}提高。
You and adjacent allies regenerate some hit points whenever you gain the 'Defense' status.	每当你获得『防御』状态时，你和相邻的盟友会恢复一定生命值。
Regenerate some hit points whenever you gain 'Defense' status.	每当你获得『防御』状态时，恢复一定生命值。
When you gain the 'Defense' status, all allies' risk is eliminated.{LF}Your healing aura now purges all curses from adjacent allies.	当你获得『防御』状态时，所有盟友的风险将被消除。{LF}你的治疗光环现在会净化相邻盟友身上的所有诅咒。
”Well, I'll take you over a cold-blooded killer.”{LF}{LF}	“好吧，总比冷血杀手强。”{LF}{LF}
%! Hold SHIFT to attempt another extra turn or release SHIFT for a safe action!	%! 按住 SHIFT 键尝试进行额外回合，或松开 SHIFT 键执行安全行动！
|After leading such a large band of people, returning to a regular civilian life seemed dull, so instead you traveled to a small community on the frontiers of Tsarath, where bands of nomads roamed and survival was hard-fought.{LF}{LF}There, you built a modest homestead for yourself, and you lived out your days working for a satisfying life that felt well-earned.{LF}{LF}	|在领导过如此庞大的队伍后，回归普通平民生活显得索然无味，于是你转而前往沙拉斯边境的一个小聚落，那里游牧部落四处游荡，生存需要艰苦搏斗。{LF}{LF}你在那里为自己建了座简朴的家园，为过上心满意足、感觉值得的生活而劳作，度过了余生。{LF}{LF}
|>10|?L|Once the immigrants began arriving, Bato became swept up in the rebuilding effort. {LF}{LF} He always preferred routine labour to combat, so he eventually signed on with a group of people heading out to set up a camp in the lower Knightwood region.{LF}{LF}The last you heard from him, he is still there, building homes for new immigrants and keeping himself quite busy.{LF}{LF}	|>10|?L|移民开始涌入后，巴托也被卷入了重建浪潮。{LF}{LF}他向来更喜欢日常劳作而非战斗，最终加入了一支前往骑士林下游建立营地的队伍。{LF}{LF}你最后得到的消息是，他仍在那里为新移民建造房屋，忙得不可开交。{LF}{LF}
|>10|?L|Bato, a small man even by human standards, had difficulty finding work in a nation already oversaturated with strong orcish labourers.{LF}{LF}He eventually found a labour commune that was willing to take him in, and he worked hard to earn his keep, but found it more difficult to earn the respect of his peers.{LF}{LF}He frequently suffered abuse of all sorts at their hands, and eventually, he left, choosing a solitary life over the constant ridicule.{LF}{LF}You have not heard from him since.	|>10|?L|即便以人类标准来看也身材矮小的巴托，在早已充斥强壮兽人劳工的国度里谋生艰难。{LF}{LF}他最终找到个愿意收留他的劳动公社，拼命干活挣口饭吃，却发现更难赢得同伴的尊重。{LF}{LF}他屡遭他们各种欺辱，最终选择离开，宁愿孤身一人也不愿忍受无休止的嘲弄。{LF}{LF}此后便再无他的音讯。
|>11|?L|Bato was excited about the rebuilding of the island before the conquest of it was even completed.{LF}{LF}For a while, he regularly came to you with revision upon revision for a plan to renovate the capital city of old Lukatt, and when you finally had the whole of the island under your control and gave him the go-ahead, he actually wept openly.{LF}{LF}With his efforts, the capital became a respectable seat for your new nation, and Bato now handles the rebuilding efforts in an official capacity, managing the shipments of supplies, brokering trade deals, and negotiating with foreign guilds for material and labour.{LF}{LF}He remains stalwart, reliable, and your close friend.	|>11|?L|还没等全岛征服完成，巴托就对重建计划兴奋不已。{LF}{LF}有段时间他频繁找你，反复修改旧卢卡特首都的重建方案，当你终于掌控全岛并批准他动工时，他竟当众潸然泪下。{LF}{LF}在他的努力下，首都成了新国家像样的行政中心，如今巴托以官方身份负责重建，管理物资运输，斡旋贸易协议，与外国行会洽谈物资人力。{LF}{LF}他始终坚定可靠，仍是你的挚友。
